surface_form,search_arg,kind,pos_filter,ambiguity_flag,idiom_family,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,n_decades_pass,min_count,max_count,total_count,notes
out of their mind,out of their mind,idiom_variant,,med,out_of_mind,0,0,1,3,4,4,3,2,0,2,4,5,5,12,16,14,3,13,9,10,0,0,16,110,'Out of X mind' has some non-idiomatic uses; audit.
lost his reason,lost his reason,idiom_variant,,low,lost_reason,0,0,2,5,0,1,0,1,0,2,0,3,0,1,1,1,1,2,0,0,0,0,5,20,
lost her reason,lost her reason,idiom_variant,,low,lost_reason,1,0,0,0,5,3,2,3,2,0,2,2,2,2,0,0,2,0,0,0,0,0,5,26,
lost their reason,lost their reason,idiom_variant,,low,lost_reason,0,2,1,0,1,1,0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,4,14,
lost his wits,lost his wits,idiom_variant,,low,lost_wits,1,2,7,1,4,5,2,4,4,1,0,1,7,0,0,4,3,4,2,2,0,0,7,54,
lost her wits,lost her wits,idiom_variant,,low,lost_wits,0,1,0,0,0,1,2,1,6,0,0,2,0,0,1,0,1,0,1,0,0,0,6,16,
lost their wits,lost their wits,idiom_variant,,low,lost_wits,1,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,8,
losing his wits,losing his wits,idiom_variant,,low,lost_wits,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,
Alienist,alienist,stem,,low,,0,0,0,0,0,0,5,8,21,36,38,9,5,7,8,3,3,2,3,2,0,0,38,150,"Catches alienist, alienists."
Mad-doctor,mad-doctor,stem,,low,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Depends on hyphen tokenization.
Mad doctor (two-token),mad doctor,phrase,,low,,0,1,2,1,0,0,1,2,2,4,1,0,4,2,4,13,2,4,2,0,0,0,13,45,
Asylum superintendent,asylum superintendent,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Medical superintendent,medical superintendent,phrase,,low,,0,0,1,1,0,0,0,2,0,1,1,3,4,1,5,0,1,0,0,0,0,0,5,20,
Superintendent,superintendent,stem,,high,,19,58,111,168,175,375,331,603,520,436,557,651,427,442,497,334,239,178,160,324,19,19,651,6605,School/general senses dominate.
